Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf	source
3s.5d	3D	3	2	0	5	0.51913287	3s.3p	1P*	1	1	1	3	0.31941062	1.678e+01	8.728e-08	2.619e-07	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4p	3P*	3	1	1	3	0.43599038	3.430e+06	1.030e-01	3.090e-01	nist
3s.5d	3D	3	2	0	5	0.51913287	3s.4p	3P*	3	1	1	5	0.43605187	9.971e+05	1.798e-02	8.992e-02	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4p	1P*	1	1	1	3	0.44968048	1.827e+01	7.859e-07	2.358e-06	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.5p	3P*	3	1	1	3	0.49436316	1.390e+06	4.690e-01	1.407e+00	nist
3s.5d	3D	3	2	0	5	0.51913287	3s.5p	3P*	3	1	1	5	0.49438722	4.308e+05	8.758e-02	4.379e-01	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4f	1F*	1	3	1	7	0.49824836	1.355e+03	2.763e-04	1.934e-03	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4f	3F*	3	3	1	5	0.49825033	1.171e+04	3.343e-03	1.672e-02	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4f	3F*	3	3	1	7	0.49825076	1.230e+05	2.510e-02	1.757e-01	nist
3s.5d	3D	3	2	0	5	0.51913287	3s.5p	1P*	1	1	1	3	0.49852264	8.053e+00	3.934e-06	1.180e-05	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.3p	3P*	3	1	1	5	0.19966935	2.350e+07	4.020e-02	2.010e-01	nist
3s.5d	3D	3	2	0	7	0.51913260	3s.4p	3P*	3	1	1	5	0.43605187	4.550e+06	1.150e-01	5.750e-01	nist
3s.5d	3D	3	2	0	7	0.51913260	3s.5p	3P*	3	1	1	5	0.49438722	1.840e+06	5.250e-01	2.625e+00	nist
