Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	source
3s.6p	3P*	3	1	1	1	0.51957785	3s.5p	3P*	3	1	1	5	0.49438722	5.821e-01	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.4f	3F*	3	3	1	5	0.49825033	5.681e-02	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.5p	1P*	1	1	1	3	0.49852264	3.949e-08	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.3p	3P*	3	1	1	1	0.19911554	1.061e-07	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.3p	3P*	3	1	1	3	0.19929833	2.468e+01	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.3p	3P*	3	1	1	5	0.19966935	7.393e+01	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.3p	1P*	1	1	1	3	0.31941062	1.517e-03	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.4p	3P*	3	1	1	1	0.43596035	1.403e-09	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.4p	3P*	3	1	1	3	0.43599038	2.826e-01	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.4p	3P*	3	1	1	5	0.43605187	8.439e-01	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.4p	1P*	1	1	1	3	0.44968048	2.217e-05	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.5p	3P*	3	1	1	1	0.49435152	8.746e-11	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.5p	3P*	3	1	1	3	0.49436316	1.466e-01	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.5p	3P*	3	1	1	5	0.49438722	4.372e-01	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.4f	1F*	1	3	1	7	0.49824836	5.372e-04	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.4f	3F*	3	3	1	5	0.49825033	1.897e-02	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.4f	3F*	3	3	1	7	0.49825076	3.740e-02	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.5p	1P*	1	1	1	3	0.49852264	1.158e-05	auto
3s.6p	3P*	3	1	1	3	0.51958373	3s.6p	3P*	3	1	1	1	0.51957785	9.790e-12	auto
3s.6p	3P*	3	1	1	5	0.51959559	3s.3p	3P*	3	1	1	1	0.19911554	1.977e+01	auto
3s.6p	3P*	3	1	1	5	0.51959559	3s.3p	3P*	3	1	1	3	0.19929833	4.444e+01	auto
3s.6p	3P*	3	1	1	5	0.51959559	3s.3p	3P*	3	1	1	5	0.19966935	3.451e+01	auto
3s.6p	3P*	3	1	1	5	0.51959559	3s.3p	1P*	1	1	1	3	0.31941062	1.115e-05	auto
3s.6p	3P*	3	1	1	5	0.51959559	3s.4p	3P*	3	1	1	1	0.43596035	2.268e-01	auto
3s.6p	3P*	3	1	1	5	0.51959559	3s.4p	3P*	3	1	1	3	0.43599038	5.092e-01	auto
3s.6p	3P*	3	1	1	5	0.51959559	3s.4p	3P*	3	1	1	5	0.43605187	3.942e-01	auto
3s.6p	3P*	3	1	1	5	0.51959559	3s.4p	1P*	1	1	1	3	0.44968048	2.610e-06	auto
